e,e_dot,e_int,stamp
0.785258842152196,0.0,0.11428704932420664,1729891837871831778
0.7897121441892445,0.04727969049232139,0.11110255114336075,1729891837918927146
0.8439884371507584,0.6030656181119469,0.11601778353937585,1729891837967755605
0.9159633595834822,1.1250763410792564,0.1428360086651008,1729891838030970069
1.0297977700428778,1.750874836325238,0.15536789340877105,1729891838079140474
1.1946097032238814,2.9286295564273277,0.14969991997803792,1729891838126309041
1.2444393345559148,2.249588217364314,0.16779894289642316,1729891838175886612
1.2888659137288767,0.9568421243587804,0.18354988712477155,1729891838224782339
1.4659475993769815,2.379062480469453,0.18975782887676707,1729891838270783249
1.4745657587688334,2.014275275114285,0.1990783033985771,1729891838318923046
1.468217908685408,0.024528294775782403,0.21378325881216084,1729891838367765096
1.4532750081331707,-0.22418534620568084,0.2105111428148938,1729891838414695562
1.5749657487842017,1.0990020662486768,0.21423287383091136,1729891838463054697
1.4124863056666732,-0.0020526025027558514,0.25050532144018106,1729891838527517318
1.5001059957869245,-0.31637040751746026,0.2487838998234489,1729891838573931766
1.462735596455283,0.5627461249009545,0.20878812709934258,1729891838622956324
1.4401607514929584,-0.6161116125303124,0.21368186017568006,1729891838670993638
1.4350506807574004,-0.28736660818398946,0.20996163350433017,1729891838719758588
1.4298879143789667,-0.10708555619966388,0.20656872336334878,1729891838766958287
1.424308713653404,-0.11276269330363448,0.20424668228113319,1729891838814995145
1.341973778414879,-0.7005941317184169,0.2352132773213447,1729891838879066877
1.3347257016917562,-0.7182522680997916,0.22950527928450745,1729891838926921574
1.321235141104903,-0.21382494373011857,0.19329994703471606,1729891838975766664
1.3070768007692422,-0.2879682262805797,0.19038356749367838,1729891839023001111
1.296483308192875,-0.25843330905147366,0.1884399070086258,1729891839071792250
1.286511751723781,-0.2124667703831324,0.18822918720818255,1729891839119775116
1.2725628017528359,-0.2494895888701476,0.1848555544782419,1729891839167682527
1.2593554375856075,-0.2851157846305884,0.18182276128576857,1729891839215009643
1.172403632914298,-0.809811454470666,0.2077928982138933,1729891839279872040
1.1567186408465593,-0.8338948823792747,0.2023804970918525,1729891839327804102
1.138466988380772,-0.357197639370046,0.1648393178279945,1729891839374946242
1.122374299633824,-0.3648729431831706,0.16082457407056663,1729891839421920826
1.1208579774147973,-0.1861956223521573,0.16544116878617243,1729891839472791266
1.1119505952997626,-0.10956091030551937,0.16427190074721518,1729891839519842115
1.0998946481173217,-0.2204143369913364,0.1582770613032569,1729891839567775519
1.117859095226171,0.012309763206950958,0.1881124191030573,1729891839632832477
0.9837440913108128,-1.312789188670906,0.17812539754018444,1729891839679051806
0.9605308562146289,-1.6931322814819647,0.1441129449862234,1729891839726958396
0.9368786981452919,-0.48471941049412776,0.13928261957580615,1729891839775737060
0.9212898573267949,-0.40570995217714134,0.13602926102904564,1729891839823477508
0.9273047140155583,-0.10112367482931522,0.13389168344200902,1729891839871872666
0.9378236493357864,0.1728161011025225,0.1336335862406995,1729891839919395420
0.9471600784737455,0.20705267149337264,0.13493116962155408,1729891839967831037
0.9441073827030343,0.06457797241029417,0.13640691379898068,1729891840015827049
0.8176520785807068,-1.031368651627676,0.15068492800903294,1729891840079082057
0.780779407704927,-1.3751893162675553,0.14281078769574404,1729891840128164092
