e,e_dot,e_int,stamp
-2.3561947508983523,0.0,-0.3180957915485132,1729888510199232263
-2.354943159607192,0.008888043807484156,-0.3865525657016958,1729888510269641042
-2.3410287579796445,0.14668277408408986,-0.42629749487259483,1729888510320130626
-2.324545302050168,0.34874687006888316,-0.3143744926208756,1729888510359199798
-2.2986956111453547,0.469758456968722,-0.3099427602918281,1729888510409139899
-2.2643528671082875,0.6020395699020542,-0.3442712507387134,1729888510459168334
-2.224514620993597,0.7418718630979949,-0.3393651228412114,1729888510509136153
-2.177119140173941,0.8721533907538319,-0.33334711320594285,1729888510559182550
-2.134188279607334,1.0111001282224605,-0.294032934531464,1729888510599111941
-2.071782351853601,1.1626062575491845,-0.28676801876314095,1729888510649034927
-1.9724438128388688,1.321121309791224,-0.3746487710207048,1729888510720388648
-1.9165330921764596,1.3811217679459995,-0.3342885348514281,1729888510761197973
-1.8442605812787844,1.394240226373245,-0.2630457059247625,1729888510812150157
-1.7826627351591284,1.4252757177338988,-0.260442757684823,1729888510855162035
-1.71775686584724,1.378320993211951,-0.24589496729079033,1729888510904165006
-1.6498657538492694,1.340742764549792,-0.2550289460419427,1729888510954197051
-1.5805061379153487,1.3609576972885908,-0.249500327630694,1729888511005011417
-1.5164680224362013,1.3603268763881011,-0.23271576350438017,1729888511052247743
-1.431245047693193,1.361770787366067,-0.24801252221530845,1729888511114552221
-1.3591941051469703,1.3951628424595932,-0.24324584799783255,1729888511165204021
-1.2982011266835203,1.4045637563935518,-0.19346948624048083,1729888511209189839
-1.227864908520181,1.3965618533189166,-0.18259703167387328,1729888511259198597
-1.1572887957134035,1.3959455962485818,-0.18591925043505295,1729888511310140851
-1.0896790247969943,1.3811941350594208,-0.17381546969735537,1729888511359241119
-1.0338838994323971,1.3721816540923832,-0.14748147643839876,1729888511400045290
-0.9669620897263591,1.3625849867814948,-0.1392154436398492,1729888511449333025
-0.8695069489830956,1.3771186819040977,-0.17089374138732627,1729888511519120512
-0.8118020021905343,1.3944714925023889,-0.1472804795729088,1729888511560560571
-0.7403342326653901,1.4313441644473133,-0.10903578235309842,1729888511609171534
-0.6672516866250158,1.4656670166468841,-0.10944757065383923,1729888511659189245
-0.5948935036940113,1.453975095930143,-0.10015370396369334,1729888511709201231
-0.5256076507184528,1.3980996443898355,-0.09060182657341573,1729888511760547504
-0.4782219935001808,1.2809359864555283,-0.0722843870344483,1729888511799628847
-0.4219649856792822,1.171913525406991,-0.06331057411713364,1729888511849355095
-0.3500731134645658,1.0744372461604907,-0.07525245483059222,1729888511920007638
-0.3143157988704406,0.9535952386665795,-0.060208548857255524,1729888511960200238
-0.2704220563232913,0.8932110940379705,-0.041664031292908875,1729888512009146502
-0.23243993809664554,0.826638975997966,-0.04051308617208777,1729888512059353775
-0.20177709401201316,0.6867941599228666,-0.03519578670646646,1729888512109044062
-0.17556972311725527,0.5697511210293009,-0.03044523798315776,1729888512159209151
-0.15638663928632246,0.4920419642305961,-0.02447631605292418,1729888512200761258
-0.13517276920206855,0.4409376294281931,-0.021496311007898103,1729888512251245021
-0.107563473954563,0.4133665989038501,-0.023628023552893927,1729888512319161159
-0.09428250217597478,0.36336740743288876,-0.01843346944871373,1729888512360636423
-0.07984810992775593,0.3071701441045057,-0.012753810170370982,1729888512409711888
-0.0696760024035541,0.24917145561964743,-0.01205451678791327,1729888512459522366
-0.06255612296578539,0.17369570151017089,-0.010555121332372202,1729888512509250814
-0.05610101616287766,0.13464172850816714,-0.009502862428818116,1729888512560437648
-0.05195644122354093,0.1166694074709112,-0.007663798240383864,1729888512599088934
-0.04501744795395668,0.12006539386727882,-0.006954430521866337,1729888512651300858
-0.03755102153995349,0.12051990147374184,-0.008156006420557626,1729888512720345294
-0.03464481342580017,0.09159819774705366,-0.006315714241467733,1729888512759065360
-0.03067635338351149,0.07634200297469484,-0.004621130625589914,1729888512810187594
-0.028045563198198398,0.06531563258723369,-0.00470361567950922,1729888512859821131
-0.02416545226602773,0.06551608791693236,-0.004117876313105243,1729888512909548353
-0.021446932357777726,0.0656086641457107,-0.003713737089957892,1729888512960658402
-0.01890820714388841,0.058688439952213955,-0.0029247793322681914,1729888513000210060
-0.016212526135207295,0.05147606949806535,-0.0030855208830932444,1729888513069749728
-0.013575895470253396,0.06390077819668433,-0.0024141934166304513,1729888513099362620
-0.00940072839324868,0.07927619256340479,-0.0017571185887677325,1729888513159423416
-0.008083275897121212,0.047941907737489964,-0.0017086741630489546,1729888513209386952
-0.007903869067733549,0.014981815803646862,-0.0012676583559853988,1729888513259286766
-0.00998747734175165,-0.018949658948238975,-0.0013002073050652494,1729888513309500547
-0.00976616520630369,-0.01851013780560045,-0.001378393736347129,1729888513358962726
-0.009740659843886501,0.002554268736482199,-0.0013225490585142621,1729888513399182406
-0.008315447348810956,0.014351441393325549,-0.0012658501819516616,1729888513449958056
