x,y,theta,stamp
-8.302208698296454e-08,9.585265559053369e-08,-9.537271458855716e-07,1729888609524685149
-8.302208698296454e-08,9.585265559053369e-08,-9.537271458855716e-07,1729888609554096771
-8.302208698296454e-08,9.585265559053369e-08,-9.537271458855716e-07,1729888609614483003
-8.302208698296454e-08,9.585265559053369e-08,-9.537271458855716e-07,1729888609664731726
0.00025671269395388663,2.249817771371454e-05,-0.0016971342085209812,1729888609714763832
0.002569494303315878,-0.00016370251250918955,-0.017720112372523585,1729888609764689073
0.0054888478480279446,-0.00048224255442619324,-0.0371278497117317,1729888609804649158
0.01028570905327797,-0.0008040827815420926,-0.0678082263976386,1729888609854673992
0.016400998458266258,-0.0014104001456871629,-0.10372064233854075,1729888609904746096
0.025185152888298035,-0.002857158426195383,-0.15889323843670722,1729888609963931418
0.032365553081035614,-0.004273579455912113,-0.20195003497428518,1729888610004285682
0.04400807246565819,-0.00718385074287653,-0.28196852757169544,1729888610064662613
0.05498388409614563,-0.011015689000487328,-0.35455388624870443,1729888610114805256
0.06650417298078537,-0.01543594989925623,-0.4274283922671068,1729888610164672370
0.07556576281785965,-0.019884981215000153,-0.48872911133150043,1729888610204702063
0.08597980439662933,-0.02566532790660858,-0.5698488715454119,1729888610255691808
0.09641081839799881,-0.03305206820368767,-0.64540596679222,1729888610304280507
0.10823000222444534,-0.04251619428396225,-0.7374670238525032,1729888610364078414
0.11734198033809662,-0.05079887434840202,-0.8165873248394026,1729888610415707118
0.12549801170825958,-0.06017210707068443,-0.8914006334422886,1729888610464819796
0.13292992115020752,-0.0699118822813034,-0.9679186236886707,1729888610514646399
0.13952083885669708,-0.08023832738399506,-1.0461350477044706,1729888610564700728
0.14451900124549866,-0.08903827518224716,-1.1075096449592514,1729888610604654792
0.1499207317829132,-0.10045842081308365,-1.1844213770110092,1729888610655676979
0.15405970811843872,-0.11194609850645065,-1.2597969868780818,1729888610704683645
0.15825162827968597,-0.12633918225765228,-1.3525663609476728,1729888610764710410
0.16078858077526093,-0.13802939653396606,-1.4328398146156613,1729888610815152549
0.16208650171756744,-0.1503748595714569,-1.5103701126632403,1729888610864693749
0.16235631704330444,-0.1629420518875122,-1.58928725332115,1729888610914677681
0.1618267148733139,-0.17552347481250763,-1.6647766789196619,1729888610964670448
0.1606849730014801,-0.1852811872959137,-1.7248014040653123,1729888611004655198
0.1587100625038147,-0.19698715209960938,-1.8029442419587043,1729888611055681482
0.1551562398672104,-0.20940735936164856,-1.8792414258847059,1729888611103855487
0.15108996629714966,-0.22171658277511597,-1.950622834893484,1729888611154167997
0.14477017521858215,-0.23702816665172577,-2.0295657556797537,1729888611215752287
0.137948676943779,-0.2499844878911972,-2.086507576547516,1729888611264692348
0.13062773644924164,-0.26273614168167114,-2.139462403469745,1729888611314660812
0.12202133238315582,-0.27555760741233826,-2.1875551012849117,1729888611364803051
0.1152363047003746,-0.285141259431839,-2.2233331214378094,1729888611404647212
0.1058526486158371,-0.2970696687698364,-2.2638506557725826,1729888611454708633
0.09617286175489426,-0.3085807263851166,-2.301744916355887,1729888611503970752
0.08438286930322647,-0.32149866223335266,-2.3390247819645142,1729888611563894298
0.07423868775367737,-0.3320631682872772,-2.366152452007638,1729888611614875053
0.06372334808111191,-0.3426065146923065,-2.3898101077348204,1729888611664669861
0.052855294197797775,-0.35262012481689453,-2.4114277959246433,1729888611714675261
0.04165031015872955,-0.3624842166900635,-2.4317770192193127,1729888611764704174
0.03274817392230034,-0.3702368140220642,-2.445976272364124,1729888611804658155
0.021383903920650482,-0.37960872054100037,-2.460096796107709,1729888611855748794
0.009655233472585678,-0.38917359709739685,-2.4758339153270614,1729888611906832208
-0.0020979156251996756,-0.3981218636035919,-2.4896035333143445,1729888611952886739
-0.017244452610611916,-0.4095821976661682,-2.5080132443669068,1729888612016719901
-0.02922862209379673,-0.4182124435901642,-2.5188680242926216,1729888612066774091
-0.04069463536143303,-0.426565557718277,-2.5279231790856107,1729888612113655935
-0.0531029999256134,-0.43510735034942627,-2.5350470273862262,1729888612163707666
-0.0637013167142868,-0.4422970414161682,-2.5410194813335916,1729888612205680630
-0.07585317641496658,-0.45052647590637207,-2.5477184834744517,1729888612255752660
-0.08834362775087357,-0.45870229601860046,-2.5527820724870103,1729888612306328496
-0.10311891883611679,-0.46864500641822815,-2.559643958007669,1729888612364712693
-0.1158614456653595,-0.47670039534568787,-2.562918626142623,1729888612414701262
-0.12847638130187988,-0.4849444031715393,-2.568386818966974,1729888612465684634
-0.1406477689743042,-0.4926791489124298,-2.573600050270883,1729888612512703272
-0.15335996448993683,-0.5005173683166504,-2.577237073515732,1729888612562683987
-0.16388319432735443,-0.5073087811470032,-2.5806753566367617,1729888612604668938
-0.17626377940177917,-0.5147845149040222,-2.5838437535239764,1729888612654745047
-0.1894441694021225,-0.5229172706604004,-2.5868921390901365,1729888612704464569
-0.20164810121059418,-0.5306128859519958,-2.589653520648505,1729888612752680328
-0.21756255626678467,-0.540098249912262,-2.591683417239398,1729888612814733977
-0.23026669025421143,-0.5480276346206665,-2.5925667298897985,1729888612864714117
-0.24258555471897125,-0.5555158257484436,-2.5946552527859676,1729888612912670407
-0.255506694316864,-0.5633428692817688,-2.597535903762518,1729888612962709129
-0.2661762833595276,-0.5698035955429077,-2.599056993382611,1729888613004663794
-0.2790410816669464,-0.5773844122886658,-2.599533628276726,1729888613054759845
-0.2917426526546478,-0.5852219462394714,-2.6016828637322496,1729888613104674433
-0.3070582449436188,-0.5942133665084839,-2.601741094723161,1729888613164413564
