x, y, th, stamp, 
-24.002168655395508, -10.90998649597168, -2.3824429096287223, 1728072104769271278
-24.002721786499023, -10.910563468933105, -2.3829600749771522, 1728072104830692212
-24.006105422973633, -10.913673400878906, -2.3835787777530464, 1728072104880428103
-24.028894424438477, -10.935515403747559, -2.381417273305898, 1728072105119080834
-24.047136306762695, -10.952439308166504, -2.3802938419067887, 1728072105309391909
-24.074031829833984, -10.977569580078125, -2.38230130437485, 1728072105568183786
-24.097015380859375, -10.998968124389648, -2.382595082219928, 1728072105778145450
-24.124935150146484, -11.025521278381348, -2.3831657743775208, 1728072106019705512
-24.1513614654541, -11.050002098083496, -2.3846235750074496, 1728072106229114031
-24.183837890625, -11.08060073852539, -2.3841640917864333, 1728072106479198490
-24.224355697631836, -11.118544578552246, -2.3835670985693405, 1728072106768071706
-24.276386260986328, -11.167537689208984, -2.382262674054637, 1728072107119144109
-24.33346176147461, -11.221833229064941, -2.38248369169058, 1728072107474123730
-24.385021209716797, -11.270813941955566, -2.3816113915199923, 1728072107779253751
-24.44632339477539, -11.329230308532715, -2.379489436888713, 1728072108129126491
-24.50796890258789, -11.387696266174316, -2.380315328032884, 1728072108465660358
-24.565494537353516, -11.442680358886719, -2.379099136667356, 1728072108769256659
-24.634048461914062, -11.508036613464355, -2.37858462628087, 1728072109119125730
-24.70559310913086, -11.575638771057129, -2.378607999651189, 1728072109469116256
-24.782072067260742, -11.648418426513672, -2.3792135578374913, 1728072109829157402
-24.843416213989258, -11.706549644470215, -2.3791971305746005, 1728072110109278818
-24.924131393432617, -11.783620834350586, -2.3795657274699895, 1728072110469017036
-25.006187438964844, -11.861335754394531, -2.3794562887821664, 1728072110819213720
