e,e_dot,e_int,stamp,
-2.356194490192345, 0.0, -0.0, 1731708635065297139, 
-2.356194490192345, 0.0, -0.0, 1731708635065297139, 
-2.356194490192345, 0.0, -0.0, 1731708635065297139, 
-2.356194490192345, 0.0, -0.0, 1731708635065297139, 
-2.356194490192345, 0.0, -0.0, 1731708635065297139, 
-2.356194490192345, 0.0, -0.0, 1731708635065297139, 
-2.356194490192345, 0.0, -0.0, 1731708635065297139, 
-2.356215063952782, -6.857920145690126e-05, -3.351318209674424, 1731708636487636623, 
-2.3562084469632874, -4.6522569808378954e-05, -3.816591074837959, 1731708636685100787, 
-2.3562084469632874, 2.2056631648522302e-05, -0.46526716672877677, 1731708636685100787, 
-2.3562084469632874, 0.0, -0.0, 1731708636685100787, 
-2.3562084469632874, 0.0, -0.0, 1731708636685100787, 
-2.3562084469632874, 0.0, -0.0, 1731708636685100787, 
-2.326349587501395, 0.09952953153964088, -0.9427606676687816, 1731708637086915794, 
-2.2458221547640917, 0.367954307330652, -1.1593757275442529, 1731708637187112381, 
-2.1529858954499588, 0.5778789735047877, -0.4485565323498135, 1731708637287010672, 
-2.0631439502829068, 0.6089273482706167, -0.43137506934773495, 1731708637387380846, 
-1.9773530723117472, 0.5854427437940387, -0.4126621607373066, 1731708637486896019, 
-1.8973011802333453, 0.5528092334985383, -0.3947930810099997, 1731708637586845227, 
-1.8166033626739415, 0.5358323654593522, -0.37942586110414234, 1731708637686900598, 
-1.724355010818775, 0.5764872313819006, -0.36273388269623996, 1731708637786946314, 
-1.724355010818775, 0.3074945061838881, -0.17559068249927545, 1731708637786946314, 
-1.634971931451331, 0.29794359789148056, -0.5058790433066661, 1731708638085477407, 
-1.544228956854804, 0.6004201798799036, -0.6514450540149842, 1731708638185500996, 
-1.4567380871699935, 0.5941128142711246, -0.3088346322472082, 1731708638285329886, 
-1.3748113380941265, 0.564725395868925, -0.29155300415002633, 1731708638385387493, 
-1.2979003841401129, 0.5294590100996022, -0.2754420670293873, 1731708638485435527, 
-1.2255991244843636, 0.4973740453658763, -0.25895406659381437, 1731708638584669241, 
-1.1416786189622758, 0.5207392172594568, -0.2444082422392217, 1731708638685487121, 
-1.0578084346664416, 0.5593022993930733, -0.2291198372104315, 1731708638785353100, 
-0.9939089348508887, 0.49256561370462376, -0.21294454876430138, 1731708638885535486, 
-0.935509161411475, 0.40766424418322195, -0.19832983176859278, 1731708638984530996, 
-0.8779270549384608, 0.38660626637475975, -0.18714493997738413, 1731708639085523300, 
-0.8184841164147487, 0.39008348332242093, -0.176274630305458, 1731708639185458009, 
-0.7628650547424454, 0.3835400006533847, -0.1639065444500651, 1731708639285468157, 
-0.7107822345244106, 0.3590062729677938, -0.15281436616814814, 1731708639385465346, 
-0.6656087505049193, 0.3241876807917536, -0.14270475029233515, 1731708639485591117, 
-0.6241426356292847, 0.28879866298375284, -0.13349998900833404, 1731708639585661915, 
-0.587257093864086, 0.26117218880277776, -0.1250577878496972, 1731708639685469470, 
-0.5555405838526664, 0.22867350592206126, -0.11762870401064414, 1731708639785377836, 
-0.5212129934196681, 0.22014700148139296, -0.11098738737784243, 1731708639885565640, 
-0.48662282355697917, 0.22972586765229064, -0.10427744669528094, 1731708639985478298, 
-0.45190246642925613, 0.23103508996803987, -0.09721153227656887, 1731708640085351177, 
-0.419517091868856, 0.2236857722937439, -0.09055166174948988, 1731708640185512545, 
-0.39006115000534436, 0.20613772141303924, -0.08418495165157171, 1731708640285556264, 
-0.36470144296948126, 0.18271882966458244, -0.07828712501931893, 1731708640385517176, 
-0.33244495609742275, 0.19205397969307203, -0.0724594708790439, 1731708640485498228, 
-0.29362877465752746, 0.23690889437317933, -0.06603594771086221, 1731708640585469545, 
-0.262081359100685, 0.23454532332245925, -0.05920246346042387, 1731708640685471625, 
-0.22968515885770246, 0.21314538599941665, -0.052351296058281746, 1731708640785437497, 
-0.19793663481075496, 0.21381574763310005, -0.046134862552455976, 1731708640886144316, 
-0.18522948713623233, 0.14818557240490046, -0.04084910775533675, 1731708640985400077, 
-0.17908302702359347, 0.06284535929053832, -0.037330101563053594, 1731708641085327018, 
-0.1734489888531212, 0.03926832761037039, -0.035844254934235986, 1731708641185363749, 
-0.16703021374566074, 0.04017604425977576, -0.034670268602950534, 1731708641285516331, 
-0.16011250515097553, 0.04445494567381895, -0.03339219913644972, 1731708641385480123, 
-0.1541176826164934, 0.043041770430557826, -0.032082832439645555, 1731708641485508886, 
-0.15092739048358972, 0.030617048891286025, -0.030996040831736474, 1731708641585386836, 
-0.1455590274592824, 0.028528850524036642, -0.030033155027446457, 1731708641685461494, 
-0.14008663929638043, 0.036135837290697616, -0.029116923682629803, 1731708641785469662, 
-0.13278823522218497, 0.042569307456991425, -0.02789136226157305, 1731708641885431158, 
-0.12486906762501881, 0.05072523890453873, -0.026528668310546424, 1731708641985563231, 
-0.1159869478042852, 0.05600429139299923, -0.024918734999844084, 1731708642085504369, 
-0.10723541909709544, 0.058778828426411245, -0.023197949715372986, 1731708642185493026, 
-0.09888028695984952, 0.057022202814785615, -0.021459640195037422, 1731708642285375186, 
-0.09222727830594302, 0.050027135970508084, -0.019890884281816668, 1731708642385506621, 
-0.08666031355711157, 0.040733244675793166, -0.018532017342870143, 1731708642485528106, 
-0.08224703959500612, 0.03326746236978965, -0.017399560482534788, 1731708642585398459, 
-0.07680292164507874, 0.032857973040109435, -0.01636859653238029, 1731708642685380512, 
-0.07134773046085563, 0.03633103044716831, -0.015359073973931912, 1731708642785388405, 
-0.06573232816937047, 0.03690197825236089, -0.014258992398177274, 1731708642885382294, 
-0.06105255388129649, 0.03431725526519713, -0.013216744872368227, 1731708642985508083, 
-0.055462280863135316, 0.034233491020783845, -0.012153096898765597, 1731708643085436386, 
-0.050285373000190425, 0.03589060293702021, -0.011112216217929767, 1731708643185367838, 
-0.044961307861865585, 0.03500324333756577, -0.010044261439895662, 1731708643285376615, 
-0.03986713543786102, 0.03472745854109801, -0.009012409740241851, 1731708643385474903, 
-0.03496787571037263, 0.03331144050497651, -0.007992389040767758, 1731708643485526063, 
-0.03195494537493637, 0.026373966876415505, -0.007115768527071476, 1731708643585374840, 
-0.03180270771868976, 0.010550559972276238, -0.006578616056412757, 1731708643685432292, 
-0.031196797407041732, 0.0025271598929821337, -0.006333122512839941, 1731708643785464119, 
-0.03341464863602672, -0.005373136391123208, -0.006428100163237196, 1731708643885447536, 
-0.03526652623875126, -0.013565762772365098, -0.006662268253324285, 1731708643985576359, 
-0.03605075885940057, -0.008787034077912814, -0.007009032978409209, 1731708644086218191, 
-0.03480304279087676, 0.00154494482624834, -0.007081892893501855, 1731708644185780025, 
-0.03226078138191735, 0.012633258258277399, -0.006852290331401577, 1731708644285577684, 
-0.030145918018191775, 0.01552374924228328, -0.0064729821581934865, 1731708644385543403, 
-0.030571189700125956, 0.005631972272637971, -0.00619812830457662, 1731708644485564854, 
-0.030810809220957136, -0.0022163040092178696, -0.006101360929218918, 1731708644585527008, 
-0.030526576352624346, 0.00014871115833869908, -0.006126964372117605, 1731708644685555911, 
-0.028817661662503546, 0.006643825194845299, -0.0060070894582244135, 1731708644785418960, 
-0.026864438904821597, 0.012207124826009164, -0.005746735864605841, 1731708644885538189, 
-0.02491087730622299, 0.013022614520935191, -0.005376815160872762, 1731708644985565994, 
-0.023486038368228712, 0.011261335121976282, -0.005017019761102429, 1731708645085522090, 
-0.02094626106516051, 0.013215387470208265, -0.004618441895974072, 1731708645185374055, 
-0.018990395198250187, 0.014985477233261749, -0.004225095163919478, 1731708645285376189, 
-0.01745450942725535, 0.011639172126350536, -0.0038287601949258403, 1731708645385514276, 
-0.016077024460943168, 0.009711235791023398, -0.0035016634132165564, 1731708645485387697, 
