imu_ax,imu_ay,kf_ax,kf_ay,kf_vx,kf_w,kf_x,kf_y,stamp,
0.015251755714416504, 0.006930351257324219, 0.010879916942857377, 9.918248183596013e-15, 0.0002483999302022233, 3.99285465801924e-11, -4.967998604044464e-05, 0.0, 1731705928829747170, 
0.033040761947631836, 0.02318209409713745, 0.022988988593488236, 3.1462254202925854e-09, 0.0009963040037068434, 3.1578969958835414e-06, -0.00016907538190182402, 3.691251697397119e-12, 1731705929034196778, 
0.01489347219467163, 0.008663952350616455, 0.018795495542699263, 8.718300069765242e-09, 0.0014629014700012013, 5.95959485211132e-06, -0.00022940512585163352, 2.486592282781497e-11, 1731705929134004707, 
-0.013195037841796875, -0.014845430850982666, 0.0026748984146550137, -8.887649503128672e-09, 0.0011165239853185003, -7.960106204609099e-06, -0.00018848141800686968, -8.036933738116154e-11, 1731705929234419738, 
-0.0057849884033203125, 0.022095143795013428, -0.00156699948852597, 5.6575164929444714e-05, 0.000877568200262135, 0.06446811189437512, -9.739472499381247e-05, 7.370877690820203e-07, 1731705929433161559, 
0.6029356718063354, -0.047099530696868896, 0.30027206515436805, 0.003263196877506809, 0.008466598431397871, 0.3854200602458526, -0.0013492908422524964, 3.834670348853873e-06, 1731705929534163964, 
-0.4620671272277832, -0.1532360315322876, -0.08154413597086307, -0.007110580901569843, -0.009669979828243622, 0.7353253086218022, -0.0027085823352794337, -2.5180128120535644e-05, 1731705929633959842, 
0.037364065647125244, 0.003981232643127441, -0.021294620035648207, 0.009454199324385832, 0.010312931438116044, 0.9167324907682035, -0.0013865492018317249, 3.213261074320076e-05, 1731705929734186645, 
0.12066328525543213, 0.2115921974182129, 0.05240942802648513, 0.08841441595721101, 0.09093186464197828, 0.9723149998663384, 0.006149383013866738, 0.001217793817277954, 1731705929834032978, 
0.23389774560928345, 0.1923092007637024, 0.1439227673660891, 0.12092873860504263, 0.12388169696568016, 0.976163077896361, 0.016317607599580248, 0.0043782173634657915, 1731705930033236491, 
