x,y,th,stamp,
6.225855031516403e-08, -7.27614803963661e-08, 7.158729999837886e-07, 1731707181632145300, 
6.225855031516403e-08, -7.27614803963661e-08, 7.158835090336759e-07, 1731707181632857392, 
6.225855031516403e-08, -7.27614803963661e-08, 7.15894675987538e-07, 1731707181711579881, 
6.225855031516403e-08, -7.27614803963661e-08, 7.15906876966113e-07, 1731707181811705339, 
6.225855031516403e-08, -7.27614803963661e-08, 7.159077295319915e-07, 1731707181911542134, 
6.225855031516403e-08, -7.27614803963661e-08, 7.158854243076612e-07, 1731707182011762608, 
8.300617793111087e-08, -9.701535930162208e-08, 9.542553900959465e-07, 1731707182111588407, 
8.300617793111087e-08, -9.701535930162208e-08, 9.542196908037527e-07, 1731707182211732775, 
1.4524903235724196e-07, -1.697769533848259e-07, 1.669473582251963e-06, 1731707182311788105, 
1.6599663865690673e-07, -1.9403080386837246e-07, 1.907895416247614e-06, 1731707182411751844, 
1.6599663865690673e-07, -1.9403080386837246e-07, 1.907894126000181e-06, 1731707182511825570, 
1.867442449565715e-07, -2.182846401410643e-07, 2.1462918875740368e-06, 1731707182611614052, 
2.0749183704538154e-07, -2.4253847641375614e-07, 2.3847176909803574e-06, 1731707182711720814, 
0.017651299014687538, 0.0022556865587830544, 0.29534202269328397, 1731707182811486743, 
0.021495670080184937, 0.003311145817860961, 0.34403393966526435, 1731707182911264532, 
0.02431747317314148, 0.004586704540997744, 0.3909632122170939, 1731707183011755439, 
0.040610138326883316, 0.01331142708659172, 0.603166422571465, 1731707183111806289, 
0.051862720400094986, 0.021239077672362328, 0.7326956811866475, 1731707183211809169, 
0.055692460387945175, 0.024510717019438744, 0.7747578310942408, 1731707183310960847, 
0.06007406860589981, 0.028530916199088097, 0.8228740151084745, 1731707183411780218, 
0.07651354372501373, 0.048553477972745895, 1.03218172770977, 1731707183510793053, 
0.08594527095556259, 0.06467201560735703, 1.1585235951081196, 1731707183611797905, 
0.09148547053337097, 0.07842248678207397, 1.2535601048245095, 1731707183711760072, 
0.09619858115911484, 0.09348700195550919, 1.3421097390806624, 1731707183811739465, 
0.0981956198811531, 0.10191357880830765, 1.3931715243206295, 1731707183911556413, 
0.10149415582418442, 0.1284957379102707, 1.5549004901447805, 1731707184011004465, 
0.1014493778347969, 0.14708688855171204, 1.6553817680089309, 1731707184111437423, 
0.0995824784040451, 0.1645655632019043, 1.7472846796912231, 1731707184211744436, 
0.09575747698545456, 0.18284618854522705, 1.8460722430598064, 1731707184311644347, 
0.0884738489985466, 0.20603035390377045, 1.9531766168511733, 1731707184411469460, 
0.07956945151090622, 0.22681018710136414, 2.056690667393446, 1731707184510893533, 
0.06928770989179611, 0.24552899599075317, 2.1472300197560337, 1731707184612040650, 
0.052939143031835556, 0.26907747983932495, 2.2691832179678633, 1731707184711860886, 
0.03748107701539993, 0.28648778796195984, 2.359134614517764, 1731707184811803595, 
0.016614509746432304, 0.3057818114757538, 2.4585789687422133, 1731707184911846048, 
-0.004125514067709446, 0.32158777117729187, 2.5490023296663864, 1731707185011712027, 
-0.030090603977441788, 0.3373100757598877, 2.6478600620799417, 1731707185111066397, 
-0.060832612216472626, 0.35215112566947937, 2.759826919604073, 1731707185211857167, 
-0.09078377485275269, 0.3627522587776184, 2.8579375918615835, 1731707185311855178, 
-0.11952745914459229, 0.37031301856040955, 2.95009565220346, 1731707185411871184, 
-0.15284664928913116, 0.37559834122657776, 3.0499193736976293, 1731707185511872710, 
-0.19053953886032104, 0.3778279721736908, -3.125152586537501, 1731707185611862614, 
