e,e_dot,e_int,stamp,
3.009874960975376,0.2119130844941708,0.5977291273060636,156981000000,
2.991370317902313,-0.06130198362047127,0.6007337461244096,157083000000,
2.9001900817541006,-0.3656162640709182,0.5934290240421194,157185000000,
2.8576778153297884,-0.445641675241748,0.5832825476657467,157253000000,
2.788167244855161,-0.3734094563297985,0.56973567612927,157355000000,
2.7614443295904807,-0.32077828579769224,0.560485959318362,157457000000,
2.667123612726339,-0.4034787737627399,0.5477823458114653,157525000000,
2.3746526464064606,-1.2893056106134004,0.5202147059148853,157627000000,
2.3260679648764877,-1.1368521594995047,0.49118961493395247,157695000000,
2.2152444949052845,-0.5313605050039202,0.4610643404125489,157797000000,
2.0766644257023574,-0.8313451305804342,0.4411984590322753,157865000000,
1.3833687663188037,-2.7729190952882696,0.3783518457950964,157967000000,
1.185478072266214,-2.970621178120478,0.30970075095249167,158069000000,
1.1071607868348075,-0.920693264946654,0.24506717502798833,158171000000,
1.183488045094801,-0.006633423904709446,0.23174179361305486,158273000000,
1.3846845734053301,0.9250792885684089,0.24502222702232926,158341000000,
1.5920777471950074,1.3619656736673544,0.27735002437967593,158443000000,
1.7668544822285104,1.2738996960772675,0.31624112018858985,158511000000,
1.9054214443446158,1.0444789904986946,0.35095691158454223,158613000000,
2.0466146777214016,0.932533984976304,0.38125937361963513,158715000000,
2.152087085081962,0.82221880245782,0.4069415471431986,158817000000,
2.2399936555647417,0.6445965928111338,0.42924636122454035,158885000000,
2.3294939143727618,0.5913560976359999,0.44810497700129764,158987000000,
2.392413000802934,0.5080644841273078,0.4641267047160292,159089000000,
2.428487846193745,0.3299797727366105,0.47669298409129607,159157000000,
2.445162374447406,0.17583124548157247,0.484404214762939,159259000000,
2.4491817211282267,0.06897958311493942,0.4881887961179585,159327000000,
2.4444256973253946,-0.0024555904067039926,0.4892513195267352,159395000000,
2.4385220840769417,-0.03553212350428344,0.4888086335020375,159497000000,
2.472260568145699,0.09278290273434742,0.49034722330320235,159599000000,
2.469754425824094,0.10410780582384167,0.49203580520311563,159701000000,
2.468362330938454,-0.012994124024149714,0.4940251549938831,159769000000,
2.4736206563499037,0.012887435086031592,0.49411582754083017,159871000000,
2.4575868486397323,-0.03591827432907202,0.49330465572853927,159939000000,
