imu_ax,imu_ay,kf_ax,kf_ay,kf_vx,kf_w,kf_x,kf_y,stamp,
-0.05999200661322149,0.034663633646513314,-0.053312822105486296,9.844314830608997e-12,-0.0002933773697263226,-3.355512676315927e-08,-1.9998214711149271,-0.5000009942668107,7703000000,
-0.042631141625324526,-0.0092564641989721,-0.04443041699655885,-2.020194557688943e-09,-0.0009191363097431895,2.1979270498555252e-06,-1.9997304794123885,-0.500000994197777,7789000000,
-0.0695801562308278,-0.030015839019832437,-0.065214429559677,-4.159865808869757e-08,-0.0017960168671351407,2.3161618829923544e-05,-1.9995749912364422,-0.5000009940914399,7878000000,
-0.06679241212221577,-0.003990346737179599,-0.0664472091222993,-2.498678017864734e-08,-0.0025405728318659525,9.835096977044943e-06,-1.9994306706314668,-0.5000009938603399,7987000000,
-0.042673942534432636,0.0016033067529098574,-0.0467301333520561,2.674316412996618e-09,-0.0015118700001549986,-1.76887987242451e-06,-1.9995102157009694,-0.5000009945259948,8071000000,
-0.04857846580329836,-0.0006293213783852757,-0.04824493372791031,-4.728389278573899e-10,-0.0010858543986800237,4.3545334294559015e-07,-1.9995512225792293,-0.5000009948526044,8167000000,
-0.09689391950694776,0.0041937758992982,-0.08853123669674462,4.118886637196428e-09,-0.0011028453633123714,-3.7347816604364585e-06,-1.9995471580095665,-0.5000009948300032,8258000000,
-0.05956703139540041,0.028067414205467926,-0.06451190430760251,4.3599251788809924e-08,-0.0016550422700242137,-2.634328595617806e-05,-1.999491722121621,-0.5000009944475561,8353000000,
-0.056709440079932776,-0.006075702178471089,-0.05802866984078363,-5.059848027491922e-09,-0.001347267927364065,3.7556360726195975e-06,-1.9995209144688912,-0.5000009946185339,8438000000,
-0.07044017395409476,0.02251214417774101,-0.06824509438033788,5.5689395477316526e-08,-0.0022699751066363218,-2.4533042373243373e-05,-1.9993755873901058,-0.5000009939438049,8536000000,
-0.04043142010786788,0.001821447086118704,-0.04518122215734935,1.1417805070453323e-08,-0.0014839765426780073,-7.694060345353285e-06,-1.9994347007085491,-0.5000009941602519,8628000000,
-0.06299505388205393,-0.005209410344133549,-0.0599225775802804,-5.4421567106526705e-09,-0.0010814954949628537,5.0320660011991945e-06,-1.999472546818419,-0.5000009941790641,8723000000,
-0.04239520176493751,0.00927113166876489,-0.045385708681606955,8.642670988360903e-09,-0.0011531661129093457,-7.494732017884342e-06,-1.99946430566905,-0.5000009941464565,8804000000,
-0.06009819548275206,-0.016881782062718356,-0.05755900868776718,-1.498103824539951e-08,-0.001014718184023506,1.4763742762544672e-05,-1.9994783012524038,-0.5000009941759911,8900000000,
-0.055466486045066606,-0.00587635646277623,-0.05580849920839409,-8.561466856555076e-09,-0.0011566950221616416,7.401663094006692e-06,-1.9994639431649135,-0.5000009941537747,8980000000,
-0.08015614636759974,0.00541120519010137,-0.07596112934058509,4.770937610088502e-09,-0.001204959135132697,-3.959418598509649e-06,-1.9994584990998199,-0.5000009941637991,9080000000,
-0.05687440161599538,0.017574969893319838,-0.06012776194112744,2.6673477101131426e-08,-0.0014590917313253094,-1.8280877431128752e-05,-1.9994329267321378,-0.5000009941029984,9175000000,
-0.04775714479181861,-0.012373736315103056,-0.049860477076716474,-1.496198691610835e-08,-0.0012722970643804874,1.175982192758867e-05,-1.9994523142507727,-0.5000009941495405,9261000000,
-0.05904916870729397,-0.039229498410474066,-0.05745732216601822,-4.6312143736457475e-08,-0.001069394866077494,4.330686933847825e-05,-1.9994708619650436,-0.5000009941568956,9346000000,
-0.07289358214908949,0.001616427038364879,-0.07022743855071764,-7.157196334407388e-09,-0.0012035444107411008,5.946765462522679e-06,-1.9994574190601049,-0.5000009941364354,9446000000,
-0.05012432607849176,-0.017016228943596383,-0.05355347991000796,-2.4383032847704043e-08,-0.0013602070756523355,1.792597118788718e-05,-1.9994415495651108,-0.5000009941298971,9541000000,
-0.07996145327006225,5.576066922979622e-05,-0.07541282387983983,-3.570968842919953e-09,-0.0012113946486748987,2.9478162602303947e-06,-1.999456027285976,-0.5000009942566686,9627000000,
-0.04154756824204847,-0.00792604626675783,-0.04733719917912663,-1.1872737868700007e-08,-0.0014138589196084766,8.397399276575477e-06,-1.999435569882725,-0.5000009941244774,9723000000,
-0.036340350544573755,-0.01604553770193786,-0.038212067238305,-2.0678843569677603e-08,-0.0010247324020799314,2.0179749881730202e-05,-1.9994743060334972,-0.5000009944884282,9808000000,
-0.08636716594338893,-0.017453522731706632,-0.07809109415896932,-1.726880283487674e-08,-0.000947615550992455,1.822342701825736e-05,-1.9994816469334913,-0.5000009945833902,9900000000,
-0.05553980280531502,0.015980208027950922,-0.05938683916773919,1.3950921236561438e-08,-0.0014734703498859095,-9.468070557131777e-06,-1.9994279282909275,-0.5000009939814302,9991000000,
-0.022173076394344786,0.005376284448795099,-0.028541508615411722,9.473794148269142e-09,-0.0011495002046368365,-8.241663733554718e-06,-1.999458241126935,-0.5000009944136992,10081000000,
-0.07410064586221861,0.002843140239450274,-0.066271824111712,3.380714036785589e-09,-0.0008090575916208775,-4.1785826766826556e-06,-1.9994932288540972,-0.5000009948393775,10171000000,
-0.05328226598185073,0.0035344486863407073,-0.055493254939455616,3.8241220003003865e-09,-0.0012204594915055083,-3.1333461101466857e-06,-1.9994516996257075,-0.5000009943403547,10269000000,
-0.07002231882606522,0.0032045472317311823,-0.0675120707795423,4.575444389429642e-09,-0.0011915212912833569,-3.840002208018918e-06,-1.9994544746177652,-0.5000009943597932,10345000000,
-0.05489250914576922,-0.005176647704079856,-0.05703798278530614,-5.858069941189072e-09,-0.0013340733809381802,4.391115230160289e-06,-1.999440012888129,-0.5000009941973143,10434000000,
-0.04872238945539937,-0.000565234158659,-0.05013198853999806,-1.5583024128990744e-09,-0.0011755302700710984,1.3256165771084951e-06,-1.9994552015444573,-0.5000009943519892,10520000000,
-0.04027556063068272,0.025284743173190478,-0.04195144484308144,2.5309128691054735e-08,-0.001034876802975376,-2.4456175477398292e-05,-1.9994691264122213,-0.5000009944981454,10610000000,
-0.0751873358272066,-0.008765936028898635,-0.06947061705415385,-3.188642991402903e-09,-0.0009758532047496682,3.267543700100747e-06,-1.999474705963302,-0.5000009945638962,10701000000,
-0.05059941131555711,-0.029818220244568493,-0.053818024972026465,-3.2171641488023075e-08,-0.0013074037457333609,2.460727345551321e-05,-1.99944124024169,-0.5000009942377888,10792000000,
-0.06135316400419728,0.0028170005140427806,-0.06004326615950862,-1.2858247674678826e-09,-0.0011626172556465347,1.1059742673033284e-06,-1.9994554375692928,-0.5000009943694291,10872000000,
-0.06665146524709377,-0.007008262140813159,-0.0654994025648729,-8.563934719368446e-09,-0.0012444059271781993,6.881946262332523e-06,-1.999447108370963,-0.5000009943207101,10968000000,
-0.0438686247334603,0.02068519744018196,-0.04756105891873926,2.5830009038319016e-08,-0.001279291073589487,-2.0190877253480807e-05,-1.9994431346984225,-0.5000009942715732,11053000000,
-0.08813875198664038,0.00310706490687888,-0.08116013013757242,7.72909588164057e-09,-0.0011319141129494722,-6.828341296585274e-06,-1.999457582338921,-0.5000009944554912,11144000000,
-0.050933285735710515,0.002586666379897698,-0.056097335064306926,5.542444664853868e-09,-0.0015086606097413887,-3.673751822687239e-06,-1.9994199585383794,-0.5000009940340312,11242000000,
-0.05939563126519241,0.005201390642322288,-0.05881174639078422,8.821334411930486e-09,-0.0012261080814004203,-7.194581412313218e-06,-1.99944800594888,-0.5000009942796232,11336000000,
-0.06662558597348622,-0.012833563163421968,-0.0652668040972701,-1.4504436386908395e-08,-0.0012330400751037933,1.1763150833266679e-05,-1.9994467983746833,-0.5000009942660572,11416000000,
